Subject,Relationship,Object
NCT02438787,has_criteria,Active Radiographic Axial Spondyloarthritis
NCT04053387,involves,Plaque Psoriasis
NCT04053387,evaluates,Tapinarof cream
NCT04053387,measures_primary,Median Time to First Worsening
NCT04053387,measures_secondary,Clinically Meaningful Changes
NCT04053387,has_criteria,PGA = 0 (Clear)
NCT05002933,involves,Type 2 Diabetes Mellitus
NCT05002933,evaluates,Insulin glargine U300
NCT05002933,measures_primary,Mean change HbA1c
NCT05002933,measures_secondary,Percentage achieving HbA1c target
NCT05002933,has_criteria,Adult patients age≥18 years
NCT05426733,involves,Biliary Atresia
NCT05426733,evaluates,Odevixibat
NCT05426733,measures_primary,Proportion alive
NCT05426733,measures_secondary,Change AST to platelet ratio index
NCT05426733,measures_secondary,Change Fibrosis-4 score
NCT05426733,measures_secondary,Change serum bile acids
NCT05426733,measures_secondary,Change height
NCT05426733,measures_secondary,Change weight
NCT05426733,measures_secondary,Change mid-arm circumference
NCT05426733,measures_secondary,Time to onset sentinel events
NCT05426733,measures_secondary,Change pediatric end-stage liver disease score
NCT05426733,has_criteria,Completion of 104-week Treatment Period
NCT05426733,has_criteria,Signed informed consent
NCT04437433,involves,Migraine
NCT04437433,evaluates,Oral Atogepant
NCT04437433,measures_primary,Treatment Emergent Adverse Event
NCT04437433,measures_secondary,Clinically Significant Laboratory Values
NCT04437433,measures_secondary,Clinically Significant ECG Findings
NCT04437433,measures_secondary,Clinically Significant Vital Sign Measurements
NCT04437433,measures_secondary,Columbia-Suicide Severity Rating Scale
NCT04437433,has_criteria,Completed Visit 7
NCT04479787,involves,Low Back Pain
NCT04479787,evaluates,Spinal Cord Stimulation
NCT04479787,evaluates,Medical Management
NCT04479787,measures_primary,Composite Responder Rate
NCT04479787,measures_secondary,NRS Relative Change
NCT04479787,measures_secondary,ODI Change
NCT04479787,measures_secondary,PCS Responder Rate
NCT04479787,has_criteria,≥ 50% decrease NRS
NCT00327587,involves,Hypertension
NCT00327587,evaluates,Valsartan
NCT00327587,evaluates,HCTZ
NCT00327587,evaluates,Amlodipine
NCT00327587,measures_primary,Diastolic blood pressure
NCT00327587,measures_primary,Systolic blood pressure
NCT00327587,measures_secondary,Blood pressure
NCT00327587,measures_secondary,Systolic blood pressure
NCT00327587,measures_secondary,Diastolic blood pressure
NCT00327587,has_criteria,MSDBP ≥ 100 mmHg and < 120 mmHg
NCT00327587,has_criteria,MSSBP ≥ 145 mmHg and < 200 mmHg
NCT00327587,has_criteria,MSSBP ≥ 180 mmHg and/or MSDBP ≥ 110 mmHg
NCT00327587,has_criteria,MSDBP ≥ 90 mmHg and < 110 mmHg
NCT00327587,has_criteria,MSSBP ≥ 140 mmHg and < 180 mmHg
NCT00327587,has_criteria,Arm circumference > 42 cm
NCT02618187,involves,Ulcerative Colitis
NCT02618187,evaluates,SER-287
NCT02618187,measures_primary,Clinical Remission
NCT02618187,measures_secondary,Microbiome Dynamics
NCT02618187,has_criteria,Total Modified Mayo Score
NCT01429987,involves,Chronic Idiopathic Constipation
NCT01429987,evaluates,Plecanatide
NCT01429987,measures_primary,12-week CSBM Frequency
NCT01429987,measures_secondary,Stool Consistency
NCT01429987,measures_secondary,Straining Score
NCT01429987,has_criteria,Age 18-75
NCT01429987,has_criteria,BMI 18-35
NCT01429987,has_criteria,Rome III criteria
NCT04158687,involves,Schizophrenia
NCT04158687,evaluates,CTP-692
NCT04158687,measures_primary,Change From Baseline
NCT04158687,measures_secondary,Clinical Global Impression-Severity Score
NCT04158687,measures_secondary,Personal and Social Performance Scale
NCT04158687,has_criteria,Adults
NCT01862887,involves,QTc interval
NCT01862887,evaluates,PH-797804
NCT01862887,measures_primary,QTcF Interval
NCT01862887,measures_secondary,AUC (0-t)
NCT01862887,measures_secondary,Cmax
NCT01862887,measures_secondary,Tmax
NCT01862887,has_criteria,Healthy male subjects
NCT01862887,has_criteria,Healthy female subjects
NCT01862887,has_criteria,Body Mass Index (BMI)
NCT01862887,has_criteria,total body weight
NCT01862887,has_criteria,clinically significant hematological
NCT01862887,has_criteria,clinically significant renal
NCT01862887,has_criteria,clinically significant endocrine
NCT01862887,has_criteria,clinically significant pulmonary
NCT01862887,has_criteria,clinically significant gastrointestinal
NCT01862887,has_criteria,clinically significant cardiovascular
NCT01862887,has_criteria,clinically significant hepatic
NCT01862887,has_criteria,clinically significant psychiatric
NCT01862887,has_criteria,clinically significant neurologic
NCT01862887,has_criteria,clinically significant allergic
NCT01862887,has_criteria,positive urine drug screen
NCT01862887,has_criteria,regular alcohol consumption
NCT00397033,involves,Schizoaffective Disorder
NCT00397033,evaluates,Paliperidone Extended Release
NCT00397033,measures_primary,PANSS Total Score
NCT00397033,measures_secondary,PANSS Positive Subscale Score
NCT00397033,has_criteria,30% or more reduction
NCT04172233,involves,Plaque Psoriasis
NCT04172233,evaluates,AK101
NCT04172233,measures_primary,PASI75
NCT04172233,measures_secondary,PASI90
NCT04172233,measures_secondary,Physician Global Assessment
NCT04172233,has_criteria,≥ 10% body surface area
NCT04172233,has_criteria,PASI ≥12
NCT04172233,has_criteria,Physicians Global Assessment score ≥3
NCT05522387,involves,Alzheimer's Disease
NCT05522387,evaluates,XPro1595
NCT05522387,measures_primary,Change from Baseline
NCT05522387,measures_secondary,Clinical Dementia Rating Scale
NCT05522387,has_criteria,defined criteria
NCT00848354,involves,Rheumatoid arthritis
NCT00848354,evaluates,Etanercept
NCT00848354,measures_primary,ACR50 response
NCT00848354,measures_secondary,HAQ Score
NCT00848354,measures_secondary,SF-36 Score
NCT00848354,has_criteria,Baseline and Week 24
NCT02674633,involves,ADHD
NCT02674633,evaluates,Software
NCT02674633,measures_primary,TOVA API
NCT02674633,measures_secondary,ADHD-RS Total
NCT02674633,has_criteria,DSM-IV
NCT00886587,involves,Atopic Dermatitis
NCT00886587,evaluates,Device
NCT00886587,measures_primary,EASI Score Day 43
NCT00886587,measures_secondary,IGADA Score Day 43
NCT00886587,measures_secondary,Itch Score Day 43
NCT00886587,has_criteria,Post-menarchal female
NCT00886587,has_criteria,Negative urine pregnancy test
NCT00886587,has_criteria,Diagnosed with AD
NCT00886587,has_criteria,Willing to provide consent
NCT05054387,involves,Fabry disease
NCT05054387,evaluates,Fabrazyme
NCT05054387,measures_primary,change of Fabry disease symptoms
NCT05054387,measures_secondary,eGFR
NCT05054387,has_criteria,8 years of age or older
NCT05054387,has_criteria,naive to agalsidase beta
NCT05054387,has_criteria,diagnosed with Fabry disease
NCT05054387,has_criteria,plasma or leukocyte αGAL activity deficient
NCT04360187,involves,Atopic Dermatitis
NCT04360187,evaluates,Crisaborole
NCT04360187,measures_primary,Eczema Area and Severity Index
NCT04360187,measures_secondary,Treatment-Emergent Adverse Events
NCT04360187,measures_secondary,Serious Adverse Events
NCT04360187,measures_secondary,Clinically Significant Changes
NCT04360187,has_criteria,≥2 Years of Age
NCT00678587,involves,Chronic Liver Disease
NCT00678587,involves,Thrombocytopenia
NCT00678587,evaluates,Eltrombopag
NCT00678587,measures_primary,Platelet Transfusion
NCT00678587,measures_secondary,WHO Bleeding Score
NCT00678587,has_criteria,Platelets <50 Gi/L
NCT01098487,involves,Chronic Immune (Idiopathic) Thrombocytopenic Purpura (ITP)
NCT01098487,evaluates,Eltrombopag
NCT01098487,measures_primary,MF Grade change
NCT01098487,measures_secondary,Collagen Level
NCT01098487,has_criteria,centrally-reviewed BM biopsy
NCT03772587,involves,Generalized Myasthenia Gravis
NCT03772587,evaluates,M281
NCT03772587,measures_primary,Number of TEAEs
NCT03772587,measures_secondary,Number of SAEs
NCT03772587,measures_secondary,Number of AESI
NCT03772587,has_criteria,Up to Day 113
NCT00876187,involves,Chronic Low Back Pain
NCT00876187,evaluates,Tanezumab
NCT00876187,measures_primary,LBPI score
NCT00876187,measures_secondary,RMDQ Total Score
NCT00876187,measures_secondary,Patient's Global Assessment
NCT00876187,has_criteria,Baseline Observation Carried Forward
NCT00660387,involves,Parkinson's Disease
NCT00660387,evaluates,Levodopa-Carbidopa Intestinal Gel
NCT00660387,measures_primary,Change From Baseline
NCT00660387,measures_primary,"Average Daily Normalized ""Off"" Time"
NCT00660387,measures_secondary,Change From Baseline
NCT00660387,measures_secondary,"Average Daily Normalized ""On"" Time"
NCT00660387,measures_secondary,Parkinson's Disease Questionnaire (PDQ-39) Summary Index
NCT00660387,has_criteria,Levodopa-Responsive
NCT01255787,involves,Major Depressive Disorder
NCT01255787,evaluates,Vortioxetine
NCT01255787,measures_primary,MADRS total score
NCT01255787,measures_secondary,MADRS Response
NCT01255787,measures_secondary,MADRS Remission
NCT01255787,measures_secondary,CGI-I Score
NCT01255787,has_criteria,Baseline value
NCT00877487,involves,Attention-Deficit/Hyperactivity Disorder
NCT00877487,evaluates,Vyvanse
NCT00877487,measures_primary,ADHD-RS total score
NCT00877487,measures_secondary,CGI-S score
NCT00877487,has_criteria,18-55 years old
NCT00877487,has_criteria,negative pregnancy test
NCT00877487,has_criteria,documented ADHD diagnosis
NCT00877487,has_criteria,ADHD-RS score < 22
NCT00877487,has_criteria,CGI-S score ≤3
NCT00877487,has_criteria,stable SPD489 treatment 6 months
NCT01524887,involves,Alzheimer's Disease
NCT01524887,evaluates,IGIV
NCT01524887,measures_primary,Cognitive Subscale ADAS-Cog
NCT01524887,measures_secondary,ADCS-Activities of Daily Living
NCT01524887,measures_secondary,ADCS-Clinical Global Impression of Change
NCT01524887,measures_secondary,Neuropsychiatric Inventory
NCT01524887,has_criteria,Baseline to 9 Months
NCT01617187,involves,Schizophrenia
NCT01617187,evaluates,Asenapine
NCT01617187,measures_primary,Change From Baseline
NCT01617187,measures_secondary,CGI-S Score
NCT01617187,measures_secondary,PANSS Responders
NCT01617187,has_criteria,Baseline and Day 42
NCT03465787,involves,Schizophrenia
NCT03465787,evaluates,Lurasidone HCL
NCT03465787,measures_primary,Total PANSS Score
NCT03465787,measures_secondary,CGI-S score
NCT03465787,has_criteria,aged 19-75 years
NCT03465787,has_criteria,DSM-5 schizophrenia
NCT03465787,has_criteria,CGI-S ≥ 4
NCT03465787,has_criteria,not pregnant or nursing
NCT03465787,has_criteria,off prior antipsychotics
NCT03465787,has_criteria,good physical health
NCT03465787,has_criteria,no chronic CNS disease
NCT03465787,has_criteria,no prior lurasidone trial
NCT03465787,has_criteria,no recent alcohol/drug abuse
NCT03465787,has_criteria,able to cooperate
NCT05865496,involves,Chronic Rhinosinusitis With Nasal Polyps
NCT05865496,evaluates,611
NCT05865496,measures_primary,Bilateral NPS
NCT05865496,measures_secondary,Nasal Congestion Symptom Severity Score
NCT05865496,measures_secondary,Lund Mackay Score
NCT05865496,measures_secondary,Total Nasal Symptom Score
NCT05865496,measures_secondary,UPSIT Score
NCT05865496,has_criteria,Up to 16 weeks
NCT03909516,involves,Anterior Cruciate Ligament Reconstruction
NCT03909516,evaluates,Iovera° Device
NCT03909516,measures_primary,Average Daily Pain
NCT03909516,measures_secondary,Area-Under-Effect
NCT03909516,measures_secondary,Single Assessment Numerical Evaluation
NCT03909516,measures_secondary,Knee Injury and Osteoarthritis Outcomes Score
NCT03909516,has_criteria,Baseline to 10 days post-surgery
NCT03909516,has_criteria,Baseline to 12 Week
NCT03836716,involves,Amyotropic Lateral Sclerosis
NCT03836716,evaluates,Arimoclomol
NCT03836716,measures_primary,Mean and Change
NCT03836716,measures_secondary,Standard hematology parameters
NCT03836716,has_criteria,first dose of IMP
NCT02111096,involves,Type 2 Diabetes Mellitus
NCT02111096,evaluates,LY2409021
NCT02111096,measures_primary,Hepatic Fat Fraction
NCT02111096,measures_secondary,Alanine Aminotransferase Levels
NCT02111096,measures_secondary,Fasting Lipids Levels
NCT02111096,measures_secondary,Fasting Blood Glucagon
NCT02111096,measures_secondary,Body Weight
NCT02111096,has_criteria,HbA1c stratum
NCT02046616,involves,Rheumatoid Arthritis
NCT02046616,evaluates,Tocilizumab
NCT02046616,measures_primary,Change From Baseline in CDAI
NCT02046616,measures_primary,Change From Baseline in DAS28-ESR Score
NCT02046616,measures_secondary,Percentage of Participants With American College of Rheumatology Response
NCT02046616,has_criteria,Inadequate Response to DMARDs
NCT01647516,involves,Ulcerative Colitis
NCT01647516,evaluates,Ozanimod
NCT01647516,measures_primary,Clinical Remission
NCT01647516,measures_secondary,Clinical Response
NCT01647516,has_criteria,Mayo score
NCT01058096,involves,Bipolar I Disorder
NCT01058096,evaluates,Cariprazine
NCT01058096,measures_primary,YMRS Total Score
NCT01058096,measures_secondary,CGI-S Total Score
NCT01058096,has_criteria,Informed consent
NCT02317016,involves,EGFRm+ Non-small Cell Lung Cancer
NCT02317016,evaluates,AZD9291
NCT02317016,measures_primary,Rosuvastatin Cmax
NCT02317016,measures_secondary,Rosuvastatin AUC
NCT02317016,measures_secondary,Rosuvastatin Tmax
NCT02317016,measures_secondary,Rosuvastatin AUC0-t
NCT04839016,involves,plaque psoriasis
NCT04839016,evaluates,SHR-1314
NCT04839016,measures_primary,PASI 90 at Week 12
NCT04839016,measures_secondary,sPGA of 0 or 1 at Week 12
NCT04839016,measures_secondary,PASI 75 at Week 12
NCT04839016,measures_secondary,PASI 100 at Week 12
NCT04839016,has_criteria,18 years or older
NCT04839016,has_criteria,chronic plaque-type psoriasis
NCT04839016,has_criteria,PASI score 12 or greater
NCT04839016,has_criteria,sPGA score 3 or greater
NCT04839016,has_criteria,BSA 10% or greater
NCT04839016,has_criteria,inadequately controlled by topical treatment
NCT04839016,has_criteria,inadequately controlled by phototherapy
NCT04839016,has_criteria,inadequately controlled by previous systemic therapy
NCT04839016,has_criteria,BMI 18 kg/m2 or above
NCT03971422,involves,Generalized Myasthenia Gravis
NCT03971422,evaluates,Rozanolixizumab
NCT03971422,measures_primary,Change From Baseline
NCT03971422,measures_secondary,Percentage of Participants Achieving MG-ADL Response
NCT03971422,has_criteria,Baseline and Day 43
NCT03845075,involves,Hypothalamic Injury-induced Obesity
NCT03845075,evaluates,Tesofensine
NCT03845075,evaluates,Metoprolol
NCT03845075,measures_primary,Number of adverse events
NCT03845075,measures_secondary,Serious adverse events
NCT03845075,measures_secondary,Systolic Blood Pressure
NCT03845075,measures_secondary,Diastolic Blood Pressure
NCT03845075,measures_secondary,Heart Rate
NCT03845075,measures_secondary,Hematology Parameters
NCT03845075,measures_secondary,Electrolytes and Creatinine
NCT03845075,measures_secondary,Liver and Kidney Function Tests
NCT03845075,has_criteria,Treatment emergent adverse events
NCT04507659,involves,Ankylosing Spondylitis
NCT04507659,evaluates,Jaktinib Hydrochloride Tablets
NCT04507659,measures_primary,ASAS 20 at Week 16
NCT04507659,measures_secondary,ASAS 20 at Week 2
NCT04507659,measures_secondary,ASAS 40 at Week 2
NCT04507659,measures_secondary,ASAS 70 at Week 2
NCT04507659,has_criteria,≥20% and ≥1 unit
NCT02868359,involves,Chronic Cervical Pain
NCT02868359,evaluates,Pregabalin
NCT02868359,measures_primary,Pain Related Sleep Interference
NCT02868359,measures_secondary,Neck Disability Index
NCT02868359,measures_secondary,Pain Numeric Rating Scale
NCT02868359,measures_secondary,Euro Qol- 5 Dimensions -5 Level
NCT02868359,has_criteria,rescue medication
NCT01649375,involves,Ankylosing Spondylitis
NCT01649375,evaluates,Secukinumab
NCT01649375,measures_primary,ASAS 20 response
NCT01649375,measures_secondary,ASAS 40 response
NCT01649375,measures_secondary,hsCRP
NCT01649375,has_criteria,Baseline up to 16 weeks
NCT00809159,involves,Ankylosing Spondylitis
NCT00809159,evaluates,AIN457
NCT00809159,measures_primary,ASAS20 Response
NCT00809159,measures_secondary,BASDAI Score
NCT00809159,has_criteria,Moderate to Severe
NCT00365859,involves,Autistic Disorder
NCT00365859,evaluates,Aripiprazole
NCT00365859,measures_primary,Simpson-Angus Scale
NCT00365859,measures_secondary,Abnormal Involuntary Movement Scale
NCT00365859,has_criteria,Screening to Week 52
NCT04312659,involves,Crohn's Disease
NCT04312659,evaluates,Infliximab
NCT04312659,measures_primary,Clinical Response
NCT04312659,measures_primary,Clinical Remission
NCT04312659,measures_secondary,Endoscopic Remission
NCT04312659,measures_secondary,Height Z-Scores
NCT04312659,has_criteria,Children
NCT04098575,involves,Type 2 Diabetes
NCT04098575,evaluates,Empagliflozin
NCT04731675,involves,Tenosynovial Giant Cell Tumor of the Knee
NCT04731675,evaluates,AMB-05X
NCT04731675,measures_primary,Tumor Response RECIST
NCT04731675,measures_secondary,Range of Motion
NCT04731675,measures_secondary,PROMIS Physical Function Score
NCT04731675,has_criteria,Treatment-emergent Adverse Events
NCT03881059,involves,Psoriatic Arthritis
NCT03881059,evaluates,BMS-986165
NCT03881059,measures_primary,ACR 20 Response
NCT03881059,measures_secondary,PASI 75 Response
NCT03881059,has_criteria,tender joints
NCT04680975,involves,Diffuse Cutaneous Systemic Sclerosis
NCT04680975,evaluates,Belumosudil
NCT04680975,measures_primary,CRISS Score
NCT04680975,measures_secondary,mRSS
NCT04680975,measures_secondary,FVC percent predicted
NCT04680975,measures_secondary,physician global assessment
NCT04680975,measures_secondary,patient global assessment
NCT04680975,measures_secondary,SHAQ-DI
NCT04680975,has_criteria,new onset renal crisis
NCT04680975,has_criteria,new onset lung fibrosis
NCT04680975,has_criteria,pulmonary arterial hypertension
NCT04680975,has_criteria,left ventricular failure
NCT01603459,involves,Spasticity
NCT01603459,evaluates,Botulinum Toxin Type A
NCT01603459,measures_primary,Ashworth Scale Score
NCT01603459,measures_secondary,Investigator's Global Assessment of Tolerability
NCT01603459,has_criteria,Injection Cycle
NCT00614575,involves,Parkinson's disease
NCT00614575,involves,depressive symptoms
NCT00614575,evaluates,pramipexole
NCT00614575,measures_primary,UPDRS Part III Total Score
NCT00614575,measures_secondary,Beck's Depression Inventory Total Score
NCT00614575,measures_secondary,UPDRS Part I Item 3 Score
NCT00614575,measures_secondary,Modified Hoehn & Yahr Rating Scale
NCT00614575,has_criteria,12 weeks
NCT02400775,involves,Essential Hypertension
NCT02400775,involves,Stable Angina
NCT02400775,involves,Dyslipidemia
NCT02400775,evaluates,Azilsartan
NCT02400775,measures_primary,Change in lipid pool
NCT02400775,measures_secondary,Change in fibrotic component
NCT02400775,measures_secondary,Change in calcified component
NCT02400775,measures_secondary,Change in number of microchannels
NCT02400775,measures_secondary,Change in thickness of fibrous cap
NCT02400775,has_criteria,office blood pressure
NCT02698475,involves,Chronic Plaque Psoriasis
NCT02698475,evaluates,Ustekinumab
NCT02698475,measures_primary,PGA Score Cleared
NCT02698475,measures_secondary,PASI 75 Response
NCT02698475,measures_secondary,CDLQI Score
NCT02698475,has_criteria,Treatment Failure
NCT01351675,involves,Chronic Kidney Disease
NCT01351675,involves,Type 2 Diabetes
NCT01351675,evaluates,Bardoxolone Methyl
NCT01351675,measures_primary,Time-to-first event
NCT01351675,measures_secondary,Rate of change eGFR
NCT01351675,measures_secondary,Time to first hospitalization
NCT01351675,measures_secondary,Time to first event
NCT01351675,has_criteria,eGFR ≥ 15.0 and < 30.0 mL/min/1.73 m2
NCT01351675,has_criteria,History of type 2 diabetes
NCT01351675,has_criteria,Age ≥ 18 years
NCT01351675,has_criteria,Treatment with ACE inhibitor and/or ARB
NCT01351675,has_criteria,Stable dose 2 weeks prior
NCT01351675,has_criteria,Mean systolic blood pressure ≤ 160 mmHg
NCT01351675,has_criteria,Mean systolic blood pressure ≥ 105 mmHg
NCT01351675,has_criteria,Mean diastolic blood pressure < 90 mm Hg
NCT03550859,involves,Chronic Kidney Disease
NCT03550859,involves,Proteinuria
NCT03550859,evaluates,HMG-CoA Reductase
NCT03550859,measures_primary,Urine Protein to Creatinine Ratio
NCT03550859,measures_secondary,Urine Albumin-to-Creatinine Ratio
NCT03550859,measures_secondary,estimated glomerular filtration rate
NCT03550859,measures_secondary,high-sensitivity CRP
NCT03550859,measures_secondary,HOMA-insulin resistance
NCT03550859,measures_secondary,24hr urine protein
NCT03550859,measures_secondary,MCP-1
NCT03550859,measures_secondary,urinary 8-isoprostane
NCT03550859,measures_secondary,urine nephrin
NCT03550859,measures_secondary,type IV collagen
NCT03550859,has_criteria,aged ≥ 19 years
NCT03550859,has_criteria,CKD stage G2 or G3
NCT03550859,has_criteria,urine PCR 300 mg/g ≤ 3000 mg/g
NCT03550859,has_criteria,hypertension
NCT03550859,has_criteria,written informed consent
NCT03550859,has_criteria,statin treatment for 4 weeks
NCT00951275,involves,Rheumatoid Arthritis
NCT00951275,evaluates,Tocilizumab
NCT00951275,measures_primary,Hemoglobin levels
NCT00951275,measures_secondary,FACIT-F Scores
NCT00951275,has_criteria,Moderate to Severe Active
NCT04793659,involves,Wandering
NCT04793659,evaluates,Fasudil
NCT04793659,measures_primary,Global Impression of Wandering
NCT04793659,measures_secondary,Weekly Wandering Report
NCT04793659,measures_secondary,Revised Algase Wandering Scale
NCT04793659,measures_secondary,Mini Mental State Examination
NCT04793659,measures_secondary,Neuropsychiatric Inventory-Questionnaire
NCT04793659,has_criteria,Caregiver distress
NCT02684370,involves,Chronic Plaque Psoriasis
NCT02684370,evaluates,Risankizumab
NCT02684370,measures_primary,PASI90 at Week 16
NCT02684370,measures_secondary,sPGA Score at Week 16
NCT02684370,has_criteria,Moderate to Severe
NCT03498170,involves,Healthy male participants
NCT03498170,evaluates,Itraconazole
NCT03498170,measures_primary,BCT197 exposure
NCT03498170,measures_secondary,Adverse events
NCT03498170,has_criteria,Healthy male participants
NCT03498170,has_criteria,Non-smokers
NCT03498170,has_criteria,BMI 18-30 kg/m2
NCT03498170,has_criteria,Barrier contraception
NCT03498170,has_criteria,No sperm donation
NCT03498170,has_criteria,No pre-existing skin disease
NCT03498170,has_criteria,No clinically significant lab values
NCT03498170,has_criteria,Normal liver function tests
NCT03498170,has_criteria,QTcF ≤450 msec
NCT03498170,has_criteria,No allergy to BCT197 excipients
NCT03498170,has_criteria,No hypersensitivity to itraconazole
NCT03498170,has_criteria,No QTc prolonging medications
NCT03498170,has_criteria,Negative for HIV
NCT03498170,has_criteria,No clinically significant illness 30 days prior
NCT03498170,has_criteria,Suitable for participation
NCT02200575,involves,Hypertension
NCT02200575,evaluates,drug
NCT02200575,measures_primary,blood pressure changes
NCT02200575,measures_secondary,treatment compliance
NCT02200575,has_criteria,age 18+
NCT03774875,involves,Plaque Psoriasis
NCT03774875,evaluates,Apremilast
NCT03774875,measures_primary,DLQI at Week 16
NCT03774875,measures_secondary,BSA Affected by Psoriasis
NCT03774875,measures_secondary,Itch NRS Score
NCT01644175,involves,Hypercholesterolemia
NCT01644175,involves,High Cardiovascular Risk
NCT01644175,evaluates,Alirocumab
NCT01644175,measures_primary,LDL-C at Week 24
NCT01644175,measures_secondary,Apolipoprotein B at Week 24
NCT03512275,involves,Hidradenitis Suppurativa
NCT03512275,evaluates,Bermekimab
NCT03512275,measures_primary,HiSCR at Week 12
NCT03512275,measures_secondary,Change From Baseline to Week 12 in VAS Score for Disease
NCT03512275,measures_secondary,Change From Baseline to Week 12 in VAS Score for Pain
NCT03512275,has_criteria,Predose at Days 14
NCT01126970,involves,Obesity
NCT01126970,evaluates,Velneperit
NCT01126970,evaluates,Orlistat
NCT01126970,measures_primary,change in body weight
NCT01126970,measures_secondary,waist circumference
